portfolio_name,market,ablation,reference_strategy,cumulative_return,delta_cumulative_return,sharpe,delta_sharpe,information_ratio,delta_information_ratio,model_score,delta_model_score
hk_income_property_credit,hk,smart_policy,smart_policy_oos_guard,0.5405649514472048,0.0,2.071025481936961,0.0,0.06675950318843514,0.0,77.1,0.0
hk_income_property_credit,hk,smart_policy_oos_guard,smart_policy_oos_guard,0.5405649514472048,0.0,2.071025481936961,0.0,0.06675950318843514,0.0,77.1,0.0
hk_platform_financial_core,hk,equal_weight,smart_policy_oos_guard,0.44600132900635936,-0.09805332948475054,1.3245148963045428,-0.42287049502211027,1.1976364920245899,-0.30427292983908427,74.8,-7.6000000000000085
hk_platform_financial_core,hk,inverse_volatility,smart_policy_oos_guard,0.4578003183909669,-0.08625434010014299,1.5587550399933623,-0.18863035133329076,1.2595183375111518,-0.24239108435252232,79.3,-3.1000000000000085
hk_platform_financial_core,hk,mean_variance,smart_policy_oos_guard,0.5966719452600278,0.05261728676891786,1.836071169661741,0.08868577833508806,1.6768944894989493,0.1749850676352751,82.7,0.29999999999999716
hk_platform_financial_core,hk,raw_black_litterman,smart_policy_oos_guard,0.538610340642087,-0.005444317849022884,1.7416838967000179,-0.005701494626635162,1.4627338524036657,-0.03917556946000844,82.3,-0.10000000000000853
hk_platform_financial_core,hk,smart_policy,smart_policy_oos_guard,0.5440546584911099,0.0,1.747385391326653,0.0,1.5019094218636742,0.0,82.4,0.0
hk_platform_financial_core,hk,smart_policy_oos_guard,smart_policy_oos_guard,0.5440546584911099,0.0,1.747385391326653,0.0,1.5019094218636742,0.0,82.4,0.0
jp_auto_electronics_core,jp,equal_weight,smart_policy_oos_guard,0.4961402139706508,0.05783879808357839,1.0603379957249424,0.10851782842373026,-0.5382908560745003,0.16642992242380983,55.4,2.1999999999999957
jp_auto_electronics_core,jp,inverse_volatility,smart_policy_oos_guard,0.43069200196725177,-0.007609413919820618,1.0089417168373627,0.05712154953615056,-0.7126761460564945,-0.007955367558184379,55.2,2.0
