horizon,market,portfolio_name,baseline,train_row_count,test_row_count,train_positive_count,test_positive_count,test_start,test_end,note
5,cn,cn_state_owned_defensive,gradient_boosting,1564,391,84,13,2024-09-20,2026-05-08,
5,cn,cn_state_owned_defensive,logistic_regression,1564,391,84,13,2024-09-20,2026-05-08,
5,cn,cn_state_owned_defensive,random_forest,1564,391,84,13,2024-09-20,2026-05-08,
1,jp,jp_auto_electronics_core,frozen_calibrated_xgboost,1580,396,93,20,2024-09-25,2026-05-14,
1,jp,jp_auto_electronics_core,frozen_raw_xgboost_without_calibration,1580,396,93,20,2024-09-25,2026-05-14,ablation_of_calibration_layer
1,jp,jp_auto_electronics_core,historical_tail_threshold,1580,396,93,20,2024-09-25,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,jp,jp_auto_electronics_core,gradient_boosting,1580,396,93,20,2024-09-25,2026-05-14,
1,jp,jp_auto_electronics_core,logistic_regression,1580,396,93,20,2024-09-25,2026-05-14,
1,jp,jp_auto_electronics_core,random_forest,1580,396,93,20,2024-09-25,2026-05-14,
5,jp,jp_auto_electronics_core,frozen_calibrated_xgboost,1574,394,105,9,2024-09-20,2026-05-08,
5,jp,jp_auto_electronics_core,frozen_raw_xgboost_without_calibration,1574,394,105,9,2024-09-20,2026-05-08,ablation_of_calibration_layer
5,jp,jp_auto_electronics_core,historical_tail_threshold,1574,394,105,9,2024-09-20,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,jp,jp_auto_electronics_core,gradient_boosting,1574,394,105,9,2024-09-20,2026-05-08,
5,jp,jp_auto_electronics_core,logistic_regression,1574,394,105,9,2024-09-20,2026-05-08,
5,jp,jp_auto_electronics_core,random_forest,1574,394,105,9,2024-09-20,2026-05-08,
1,jp,jp_financial_industrial_mix,frozen_calibrated_xgboost,1580,396,89,17,2024-09-25,2026-05-14,
1,jp,jp_financial_industrial_mix,frozen_raw_xgboost_without_calibration,1580,396,89,17,2024-09-25,2026-05-14,ablation_of_calibration_layer
1,jp,jp_financial_industrial_mix,historical_tail_threshold,1580,396,89,17,2024-09-25,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,jp,jp_financial_industrial_mix,gradient_boosting,1580,396,89,17,2024-09-25,2026-05-14,
1,jp,jp_financial_industrial_mix,logistic_regression,1580,396,89,17,2024-09-25,2026-05-14,
1,jp,jp_financial_industrial_mix,random_forest,1580,396,89,17,2024-09-25,2026-05-14,
5,jp,jp_financial_industrial_mix,frozen_calibrated_xgboost,1574,394,98,21,2024-09-20,2026-05-08,
5,jp,jp_financial_industrial_mix,frozen_raw_xgboost_without_calibration,1574,394,98,21,2024-09-20,2026-05-08,ablation_of_calibration_layer
5,jp,jp_financial_industrial_mix,historical_tail_threshold,1574,394,98,21,2024-09-20,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,jp,jp_financial_industrial_mix,gradient_boosting,1574,394,98,21,2024-09-20,2026-05-08,
5,jp,jp_financial_industrial_mix,logistic_regression,1574,394,98,21,2024-09-20,2026-05-08,
5,jp,jp_financial_industrial_mix,random_forest,1574,394,98,21,2024-09-20,2026-05-08,
1,jp,jp_defensive_domestic,frozen_calibrated_xgboost,1580,396,81,20,2024-09-25,2026-05-14,
1,jp,jp_defensive_domestic,frozen_raw_xgboost_without_calibration,1580,396,81,20,2024-09-25,2026-05-14,ablation_of_calibration_layer
1,jp,jp_defensive_domestic,historical_tail_threshold,1580,396,81,20,2024-09-25,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,jp,jp_defensive_domestic,gradient_boosting,1580,396,81,20,2024-09-25,2026-05-14,
1,jp,jp_defensive_domestic,logistic_regression,1580,396,81,20,2024-09-25,2026-05-14,
1,jp,jp_defensive_domestic,random_forest,1580,396,81,20,2024-09-25,2026-05-14,
5,jp,jp_defensive_domestic,frozen_calibrated_xgboost,1574,394,88,23,2024-09-20,2026-05-08,
5,jp,jp_defensive_domestic,frozen_raw_xgboost_without_calibration,1574,394,88,23,2024-09-20,2026-05-08,ablation_of_calibration_layer
5,jp,jp_defensive_domestic,historical_tail_threshold,1574,394,88,23,2024-09-20,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,jp,jp_defensive_domestic,gradient_boosting,1574,394,88,23,2024-09-20,2026-05-08,
5,jp,jp_defensive_domestic,logistic_regression,1574,394,88,23,2024-09-20,2026-05-08,
5,jp,jp_defensive_domestic,random_forest,1574,394,88,23,2024-09-20,2026-05-08,
1,jp,jp_index_style_blend,frozen_calibrated_xgboost,1566,392,92,19,2024-09-30,2026-05-14,
1,jp,jp_index_style_blend,frozen_raw_xgboost_without_calibration,1566,392,92,19,2024-09-30,2026-05-14,ablation_of_calibration_layer
1,jp,jp_index_style_blend,historical_tail_threshold,1566,392,92,19,2024-09-30,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,jp,jp_index_style_blend,gradient_boosting,1566,392,92,19,2024-09-30,2026-05-14,
1,jp,jp_index_style_blend,logistic_regression,1566,392,92,19,2024-09-30,2026-05-14,
1,jp,jp_index_style_blend,random_forest,1566,392,92,19,2024-09-30,2026-05-14,
5,jp,jp_index_style_blend,frozen_calibrated_xgboost,1560,390,101,22,2024-09-26,2026-05-08,
5,jp,jp_index_style_blend,frozen_raw_xgboost_without_calibration,1560,390,101,22,2024-09-26,2026-05-08,ablation_of_calibration_layer
5,jp,jp_index_style_blend,historical_tail_threshold,1560,390,101,22,2024-09-26,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,jp,jp_index_style_blend,gradient_boosting,1560,390,101,22,2024-09-26,2026-05-08,
5,jp,jp_index_style_blend,logistic_regression,1560,390,101,22,2024-09-26,2026-05-08,
5,jp,jp_index_style_blend,random_forest,1560,390,101,22,2024-09-26,2026-05-08,
1,tw,tw_semiconductor_platform_core,frozen_calibrated_xgboost,1572,394,90,21,2024-09-23,2026-05-14,
1,tw,tw_semiconductor_platform_core,frozen_raw_xgboost_without_calibration,1572,394,90,21,2024-09-23,2026-05-14,ablation_of_calibration_layer
1,tw,tw_semiconductor_platform_core,historical_tail_threshold,1572,394,90,21,2024-09-23,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,tw,tw_semiconductor_platform_core,gradient_boosting,1572,394,90,21,2024-09-23,2026-05-14,
1,tw,tw_semiconductor_platform_core,logistic_regression,1572,394,90,21,2024-09-23,2026-05-14,
1,tw,tw_semiconductor_platform_core,random_forest,1572,394,90,21,2024-09-23,2026-05-14,
5,tw,tw_semiconductor_platform_core,frozen_calibrated_xgboost,1566,392,103,16,2024-09-19,2026-05-08,
5,tw,tw_semiconductor_platform_core,frozen_raw_xgboost_without_calibration,1566,392,103,16,2024-09-19,2026-05-08,ablation_of_calibration_layer
5,tw,tw_semiconductor_platform_core,historical_tail_threshold,1566,392,103,16,2024-09-19,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,tw,tw_semiconductor_platform_core,gradient_boosting,1566,392,103,16,2024-09-19,2026-05-08,
5,tw,tw_semiconductor_platform_core,logistic_regression,1566,392,103,16,2024-09-19,2026-05-08,
5,tw,tw_semiconductor_platform_core,random_forest,1566,392,103,16,2024-09-19,2026-05-08,
1,tw,tw_electronics_supply_chain,frozen_calibrated_xgboost,1572,394,89,26,2024-09-23,2026-05-14,
1,tw,tw_electronics_supply_chain,frozen_raw_xgboost_without_calibration,1572,394,89,26,2024-09-23,2026-05-14,ablation_of_calibration_layer
1,tw,tw_electronics_supply_chain,historical_tail_threshold,1572,394,89,26,2024-09-23,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,tw,tw_electronics_supply_chain,gradient_boosting,1572,394,89,26,2024-09-23,2026-05-14,
1,tw,tw_electronics_supply_chain,logistic_regression,1572,394,89,26,2024-09-23,2026-05-14,
1,tw,tw_electronics_supply_chain,random_forest,1572,394,89,26,2024-09-23,2026-05-14,
5,tw,tw_electronics_supply_chain,frozen_calibrated_xgboost,1566,392,106,20,2024-09-19,2026-05-08,
5,tw,tw_electronics_supply_chain,frozen_raw_xgboost_without_calibration,1566,392,106,20,2024-09-19,2026-05-08,ablation_of_calibration_layer
5,tw,tw_electronics_supply_chain,historical_tail_threshold,1566,392,106,20,2024-09-19,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,tw,tw_electronics_supply_chain,gradient_boosting,1566,392,106,20,2024-09-19,2026-05-08,
5,tw,tw_electronics_supply_chain,logistic_regression,1566,392,106,20,2024-09-19,2026-05-08,
5,tw,tw_electronics_supply_chain,random_forest,1566,392,106,20,2024-09-19,2026-05-08,
1,tw,tw_defensive_income_financials,frozen_calibrated_xgboost,1572,394,82,31,2024-09-23,2026-05-14,
1,tw,tw_defensive_income_financials,frozen_raw_xgboost_without_calibration,1572,394,82,31,2024-09-23,2026-05-14,ablation_of_calibration_layer
1,tw,tw_defensive_income_financials,historical_tail_threshold,1572,394,82,31,2024-09-23,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,tw,tw_defensive_income_financials,gradient_boosting,1572,394,82,31,2024-09-23,2026-05-14,
1,tw,tw_defensive_income_financials,logistic_regression,1572,394,82,31,2024-09-23,2026-05-14,
1,tw,tw_defensive_income_financials,random_forest,1572,394,82,31,2024-09-23,2026-05-14,
5,tw,tw_defensive_income_financials,frozen_calibrated_xgboost,1566,392,92,19,2024-09-19,2026-05-08,
5,tw,tw_defensive_income_financials,frozen_raw_xgboost_without_calibration,1566,392,92,19,2024-09-19,2026-05-08,ablation_of_calibration_layer
5,tw,tw_defensive_income_financials,historical_tail_threshold,1566,392,92,19,2024-09-19,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,tw,tw_defensive_income_financials,gradient_boosting,1566,392,92,19,2024-09-19,2026-05-08,
5,tw,tw_defensive_income_financials,logistic_regression,1566,392,92,19,2024-09-19,2026-05-08,
5,tw,tw_defensive_income_financials,random_forest,1566,392,92,19,2024-09-19,2026-05-08,
1,tw,tw_index_factor_mix,frozen_calibrated_xgboost,643,161,36,10,2025-09-09,2026-05-14,
1,tw,tw_index_factor_mix,frozen_raw_xgboost_without_calibration,643,161,36,10,2025-09-09,2026-05-14,ablation_of_calibration_layer
1,tw,tw_index_factor_mix,historical_tail_threshold,643,161,36,10,2025-09-09,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,tw,tw_index_factor_mix,gradient_boosting,643,161,36,10,2025-09-09,2026-05-14,
1,tw,tw_index_factor_mix,logistic_regression,643,161,36,10,2025-09-09,2026-05-14,
1,tw,tw_index_factor_mix,random_forest,643,161,36,10,2025-09-09,2026-05-14,
5,tw,tw_index_factor_mix,frozen_calibrated_xgboost,636,160,41,7,2025-09-04,2026-05-08,
5,tw,tw_index_factor_mix,frozen_raw_xgboost_without_calibration,636,160,41,7,2025-09-04,2026-05-08,ablation_of_calibration_layer
5,tw,tw_index_factor_mix,historical_tail_threshold,636,160,41,7,2025-09-04,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,tw,tw_index_factor_mix,gradient_boosting,636,160,41,7,2025-09-04,2026-05-08,
5,tw,tw_index_factor_mix,logistic_regression,636,160,41,7,2025-09-04,2026-05-08,
5,tw,tw_index_factor_mix,random_forest,636,160,41,7,2025-09-04,2026-05-08,
