portfolio_name,market,strategy,decision_policy,policy_asof,policy_confidence,policy_max_weight,policy_min_weight,policy_turnover_penalty,policy_concentration_penalty,policy_risk_level,policy_regime,policy_anomaly_impact,oos_leakage_guard,row_count,cumulative_return,benchmark_cumulative_return,benchmark_excess_return,annualized_return,annualized_volatility,max_drawdown,expected_shortfall,sharpe,information_ratio,turnover,model_score,model_grade,model_score_risk_control,model_score_profitability,model_score_alpha,model_score_stability,model_score_win_rate
cn_consumption_financial_core,cn,equal_weight,,,,,,,,,,,,404,0.20010356716316147,0.4916966962522271,-0.29159312908906565,0.12050464486288237,0.19065208454223537,-0.11972840251178223,-0.04360866287034275,0.6320657083410323,-1.026654354472067,0.0,53.5,C,85.3,59.0,9.5,63.1,43.3
cn_consumption_financial_core,cn,inverse_volatility,,,,,,,,,,,,404,0.20500032970034887,0.4916966962522271,-0.28669636655187825,0.12335428680422766,0.19116090361619809,-0.12044170006429077,-0.04379630281941026,0.6452903521103422,-1.00913513932819,0.15692691642010997,53.7,C,85.2,59.4,9.8,62.8,43.6
cn_consumption_financial_core,cn,mean_variance,,,,,,,,,,,,404,0.11568491581992979,0.4916966962522271,-0.3760117804322973,0.0706675429048147,0.18808446637892465,-0.133430518200839,-0.041372661724228765,0.375722377638801,-1.2184450412516818,1.9326555966065138,49.9,C,84.3,51.3,5.6,64.4,43.6
cn_consumption_financial_core,cn,raw_black_litterman,,,,,,,,,,,,404,0.11134238593693091,0.4916966962522271,-0.3803543103152962,0.06806622450523947,0.18545693505977712,-0.12875220433652268,-0.041347125419134156,0.36701903050053175,-1.293691911160264,2.3078080182704372,49.5,C,84.9,51.0,4.1,65.7,42.1
cn_consumption_financial_core,cn,smart_policy,raw,2024-09-05,0.95,0.4077,0.0298,0.03,0.0289,High,Normal,none,True,404,0.11400040278977386,0.4916966962522271,-0.37769629346245326,0.06965891716467998,0.18566555439353974,-0.12908281267361574,-0.041370494747265896,0.37518492534716374,-1.283072530058171,2.245401843136477,49.6,C,84.8,51.3,4.3,65.6,42.3
cn_consumption_financial_core,cn,smart_policy_oos_guard,balanced_blend,2024-09-05,0.95,0.4077,0.0298,0.03,0.0289,High,Normal,none,True,404,0.1521969183069778,0.4916966962522271,-0.3394997779452493,0.09239083145496885,0.1881550038168829,-0.12463245928812323,-0.042512143549046984,0.4910357395803615,-1.1793507340259444,0.1478923022035257,51.3,C,85.0,54.7,6.4,64.4,42.8
cn_new_energy_healthcare,cn,equal_weight,,,,,,,,,,,,367,0.04241451055158918,0.20756751726322453,-0.16515300671163535,0.028933830515564862,0.20979061526699785,-0.1935110950322421,-0.044765715037017505,0.13791765889404128,-0.7857942699148407,0.0,46.1,C,76.2,44.1,14.3,39.5,45.0
cn_new_energy_healthcare,cn,inverse_volatility,,,,,,,,,,,,367,0.030305505249221376,0.20756751726322453,-0.17726201201400316,0.020711713022139477,0.20577289401867271,-0.1956503951887277,-0.043482523419050706,0.10065326203877954,-0.8686636468828675,0.2546799363930186,45.3,C,76.3,43.0,12.6,40.0,44.4
cn_new_energy_healthcare,cn,mean_variance,,,,,,,,,,,,367,0.1421127804122979,0.20756751726322453,-0.06545473685092662,0.09553382839369573,0.2598391402856291,-0.18689025036656276,-0.057660854155726846,0.36766527278638556,-0.2059114872198276,1.957653383686487,51.2,C,74.3,51.0,31.8,33.1,45.0
cn_new_energy_healthcare,cn,raw_black_litterman,,,,,,,,,,,,367,0.060743594690385816,0.20756751726322453,-0.14682392257283872,0.0413227463784509,0.22353650295750785,-0.18758103006292734,-0.04890615113751052,0.18485905358511384,-0.6172519906592668,1.5252651324581696,46.9,C,75.8,45.5,17.7,37.7,44.1
cn_new_energy_healthcare,cn,smart_policy,raw,2024-11-06,0.95,0.3777,0.034,0.0336,0.0309,High,Crisis,none,True,367,0.060839505707311003,0.20756751726322453,-0.14672801155591353,0.041387396858983294,0.22345253957834196,-0.1875971152478664,-0.0488757268958055,0.1852178406075934,-0.6172912828229862,1.5104408187939289,46.9,C,75.8,45.6,17.7,37.7,44.1
cn_new_energy_healthcare,cn,smart_policy_oos_guard,defensive_blend,2024-11-06,0.95,0.3777,0.034,0.0336,0.0309,High,Crisis,none,True,367,0.06302290291839463,0.20756751726322453,-0.1445446143448299,0.04285865852220838,0.21982595523110482,-0.18917147903608497,-0.047488156274421475,0.19496632450499635,-0.6281398071561931,0.1575445625952215,47.1,C,76.0,45.8,17.4,38.2,44.7
cn_state_owned_defensive,cn,equal_weight,,,,,,,,,,,,404,0.17185244509012398,0.4916966962522271,-0.31984425116210313,0.10397780658932954,0.1783346821593433,-0.11787224970001978,-0.03825163653979059,0.5830487111667074,-0.6751557285100286,0.0,55.9,C,87.0,57.5,16.5,69.3,48.3
cn_state_owned_defensive,cn,inverse_volatility,,,,,,,,,,,,404,0.16088613028855137,0.4916966962522271,-0.33081056596367575,0.09752223849598529,0.16611121358639216,-0.10492613810346986,-0.035328278556129085,0.587090036791919,-0.722661803751602,0.22451247082676953,56.7,C,89.3,57.6,15.5,75.6,48.8
cn_state_owned_defensive,cn,mean_variance,,,,,,,,,,,,404,0.09790403877371379,0.4916966962522271,-0.39379265747851333,0.05999187351875168,0.162976636469061,-0.11872615109596682,-0.030906643757683795,0.3681010653949799,-0.8548184460247304,2.6740075458575743,53.7,C,88.8,51.0,12.9,77.2,47.8
cn_state_owned_defensive,cn,raw_black_litterman,,,,,,,,,,,,404,0.1216033137823378,0.4916966962522271,-0.3700933824698893,0.07420673277114265,0.1600259720147735,-0.10792033645873096,-0.031050237325541807,0.463716806946137,-0.8006153429135302,2.339725643467007,55.3,C,90.1,53.9,14.0,78.7,48.0
cn_state_owned_defensive,cn,smart_policy,raw,2024-09-05,0.95,0.3889,0.0325,0.0321,0.0304,High,Crisis,none,True,404,0.12188014600385721,0.4916966962522271,-0.3698165502483699,0.0743721056309874,0.16007222346745958,-0.10791168636223733,-0.031055369802517174,0.4646159341074324,-0.801448009345408,2.2144842141466423,55.3,C,90.1,53.9,14.0,78.6,48.0
cn_state_owned_defensive,cn,smart_policy_oos_guard,defensive_blend,2024-09-05,0.95,0.3889,0.0325,0.0321,0.0304,High,Crisis,none,True,404,0.1387170973913645,0.4916966962522271,-0.3529795988608626,0.08440142429187092,0.16380540263027418,-0.11066181734666047,-0.03313257678475008,0.5152542158964909,-0.7652580942160017,0.22177933942480607,55.7,C,89.2,55.5,14.7,76.7,48.0
