horizon,market,portfolio_name,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
5,cn,cn_consumption_financial_core,1955.0,88.0,0.04501278772378517,0.6670582363538979,0.09899934831906027,0.042094278917098334,0.17776971113984627,0.01417952560232462,0.0,0.0,2.4936224489795915
5,cn,cn_new_energy_healthcare,1766.0,92.0,0.052095130237825596,0.624607163264246,0.08871132812888362,0.04844533709194459,0.19736841568537794,0.0017109251556618455,0.0,0.0,2.711250307049865
5,cn,cn_state_owned_defensive,1955.0,97.0,0.049616368286445015,0.5970392729128983,0.06455076318498124,0.04704512917021132,0.19543464667819815,0.0038940110388847064,0.0,0.0,2.056595834209973
5,hk,hk_china_etf_cross_asset,435.0,25.0,0.05747126436781609,0.5490243902439025,0.15780671874022734,0.05246238335605478,0.2124144062708553,0.012480338799884947,0.0,0.0,1.5818181818181818
5,hk,hk_consumption_insurance_mix,1809.0,97.0,0.053620784964068545,0.6440769823682436,0.10895582157691883,0.04949153525859067,0.19984585892614457,0.001649876351616415,0.0,0.0,2.163752349490232
5,hk,hk_income_property_credit,1987.0,115.0,0.05787619526925013,0.5344644184318098,0.06830350600060327,0.054569618402972135,0.23971307849032122,0.007315958602938424,0.0,0.0,1.4760323355909983
5,hk,hk_platform_financial_core,1519.0,93.0,0.061224489795918366,0.5402207845088902,0.1117026666916269,0.056225533694256216,0.23538759747098903,0.008761282750466658,0.0,0.0,1.9342105263157894
5,jp,jp_auto_electronics_core,1968.0,114.0,0.057926829268292686,0.6707711160317191,0.11623915400266192,0.05321706029165439,0.22013657569835315,0.004724214851316008,0.0,0.0,2.9794282660967135
5,jp,jp_defensive_domestic,1968.0,111.0,0.056402439024390245,0.5958122904811113,0.07198533302131865,0.053002831101524255,0.21413482302600131,0.004879254077842259,0.0,0.0,1.709973933324187
5,jp,jp_financial_industrial_mix,1968.0,119.0,0.06046747967479675,0.594207179897378,0.07546691695607656,0.05674338543266565,0.22557019084360289,0.010962192405220741,0.0,0.0,2.350552403702598
5,jp,jp_index_style_blend,1950.0,123.0,0.06307692307692307,0.6692632197257933,0.130559557099239,0.057683549698595266,0.27634304734061566,0.012964057444337318,0.0,0.0,2.7642276422764227
5,tw,tw_defensive_income_financials,1958.0,111.0,0.05669050051072523,0.6366228166444733,0.08819323817613373,0.05280902408079132,0.21211628978054017,0.002948262590342862,0.0,0.0,2.699944842801986
5,tw,tw_electronics_supply_chain,1958.0,126.0,0.06435137895812053,0.6418715775975601,0.09490045223570512,0.05996543272137689,0.2351740630095709,0.016624207341117473,0.0,0.0,1.823534175574992
5,tw,tw_index_factor_mix,796.0,48.0,0.06030150753768844,0.6865669563279857,0.11698017607129912,0.055402846589964076,0.2178088578258267,0.00860602377508195,0.0,0.0,2.280208333333334
5,tw,tw_semiconductor_platform_core,1958.0,119.0,0.06077630234933606,0.6686772588317547,0.09785614916313583,0.056742852411000945,0.2247274076726972,0.010536016672866395,0.0,0.0,2.2665923512262047
5,us,us_ai_infrastructure_barbell,2034.0,115.0,0.056538839724680434,0.6236944060538776,0.08018778812641314,0.05318181883595412,0.21312905284127182,0.011080124793214087,0.0,0.0,1.9074168797953965
5,us,us_dividend_low_volatility,2034.0,118.0,0.05801376597836775,0.6697967163228478,0.11004942098578774,0.05369849079765157,0.2308331930670655,0.004767074357123,0.0,0.0,2.6193918245264203
5,us,us_mid_small_sector_mix,2034.0,110.0,0.05408062930186824,0.6587152712152712,0.10213378734531839,0.04996396342697143,0.2093673260172937,0.0031714188709240972,0.0,0.0,2.4473262032085565
5,us,us_quality_tech_finance,2034.0,109.0,0.0535889872173058,0.6978696532824974,0.09831207419147364,0.05015481864753989,0.2021495451071229,0.0031202944872651024,0.0,0.0,2.378305450620615
