scope,horizon,market,portfolio_name,baseline,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
portfolio,1,tw,tw_defensive_income_financials,logistic_regression,394.0,31.0,0.07868020304568528,0.483248911401404,0.08700096591902737,0.32359649316010913,0.8517889089351548,0.4911399020909325,0.06206896551724138,0.2903225806451613,0.9532258064516129
portfolio,1,tw,tw_defensive_income_financials,random_forest,394.0,31.0,0.07868020304568528,0.45285701590686933,0.07918477867292811,0.16321586125306656,0.5105517890098189,0.2787467969016098,0.1111111111111111,0.03225806451612903,0.635483870967742
portfolio,1,tw,tw_electronics_supply_chain,frozen_calibrated_xgboost,394.0,26.0,0.06598984771573604,0.5983486622073578,0.09031297966427516,0.06151864573994749,0.24127659131216717,0.013272818414314753,0.0,0.0,1.5153846153846153
portfolio,1,tw,tw_electronics_supply_chain,frozen_raw_xgboost_without_calibration,394.0,26.0,0.06598984771573604,0.609636287625418,0.10154773250020208,0.23106613237066775,0.656716077089831,0.3990549788559754,0.08620689655172414,0.19230769230769232,1.5153846153846153
portfolio,1,tw,tw_electronics_supply_chain,gradient_boosting,394.0,26.0,0.06598984771573604,0.6452236622073579,0.09233482043744032,0.08322546756257661,0.2966572183855854,0.06656558170826549,0.0,0.0,0.7576923076923077
portfolio,1,tw,tw_electronics_supply_chain,historical_tail_threshold,394.0,26.0,0.06598984771573604,0.5483904682274247,0.08045294806716127,0.10913705561928934,2.261676223181767,0.10913705483756345,0.16,0.15384615384615385,1.5153846153846153
portfolio,1,tw,tw_electronics_supply_chain,logistic_regression,394.0,26.0,0.06598984771573604,0.5826714046822743,0.12972889442227464,0.2798900948812699,0.7653796029976899,0.4463949892177199,0.09401709401709402,0.4230769230769231,1.5153846153846153
portfolio,1,tw,tw_electronics_supply_chain,random_forest,394.0,26.0,0.06598984771573604,0.6495610367892976,0.11332991935705891,0.13016132488347473,0.42895473534131223,0.2427321027624801,0.0,0.0,2.651923076923077
portfolio,1,tw,tw_index_factor_mix,frozen_calibrated_xgboost,161.0,10.0,0.062111801242236024,0.6062913907284768,0.10463554476999978,0.05758497549196355,0.22815900152240462,0.010976091628859501,0.0,0.0,1.8941176470588235
portfolio,1,tw,tw_index_factor_mix,frozen_raw_xgboost_without_calibration,161.0,10.0,0.062111801242236024,0.619205298013245,0.18867554019786836,0.21164460415701472,0.6138559547314261,0.3809812253121263,0.1111111111111111,0.2,1.8941176470588235
