scope,horizon,threshold,row_count,positive_count,positive_rate,flag_rate,flag_count,precision,recall,f1,top_1_precision,top_1_recall,top_1_lift,top_5_precision,top_5_recall,top_5_lift,top_10_precision,top_10_recall,top_10_lift
horizon,1.0,0.075,18097.0,934.0,0.0516107642150632,0.1521799193236448,2754.0,0.1053013798111837,0.310492505353319,0.1572668112798264,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
horizon,1.0,0.1,18097.0,934.0,0.0516107642150632,0.0378515776095485,685.0,0.183941605839416,0.1349036402569593,0.1556516368128474,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
horizon,1.0,0.15,18097.0,934.0,0.0516107642150632,0.0202243465767806,366.0,0.221311475409836,0.0867237687366167,0.1246153846153846,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
horizon,1.0,0.2,18097.0,934.0,0.0516107642150632,0.0070177377465878,127.0,0.3070866141732283,0.0417558886509636,0.0735155513666352,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
horizon,1.0,0.3,18097.0,934.0,0.0516107642150632,0.0004420622202575,8.0,0.5,0.0042826552462526,0.0084925690021231,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
horizon,1.0,0.4,18097.0,934.0,0.0516107642150632,0.0004420622202575,8.0,0.5,0.0042826552462526,0.0084925690021231,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
horizon,1.0,0.5,18097.0,934.0,0.0516107642150632,0.0004420622202575,8.0,0.5,0.0042826552462526,0.0084925690021231,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
horizon,1.0,0.6,18097.0,934.0,0.0516107642150632,0.0004420622202575,8.0,0.5,0.0042826552462526,0.0084925690021231,0.2375690607734806,0.0460385438972162,4.603091319933276,0.1524861878453038,0.1477516059957173,2.9545423355850797,0.1149171270718232,0.2226980728051391,2.226611615223538
horizon,5.0,0.05,18017.0,1033.0,0.0573347394127768,0.7817061663984015,14084.0,0.0652513490485657,0.8896418199419167,0.1215849705629423,0.2430939226519337,0.0425943852855759,4.239906296631064,0.1409544950055493,0.1229428848015488,2.458448341253614,0.1165371809100998,0.2032913843175217,2.032575400249051
horizon,5.0,0.075,18017.0,1033.0,0.0573347394127768,0.0375756230227007,677.0,0.156573116691285,0.1026137463697967,0.1239766081871345,0.2430939226519337,0.0425943852855759,4.239906296631064,0.1409544950055493,0.1229428848015488,2.458448341253614,0.1165371809100998,0.2032913843175217,2.032575400249051
horizon,5.0,0.1,18017.0,1033.0,0.0573347394127768,0.0375756230227007,677.0,0.156573116691285,0.1026137463697967,0.1239766081871345,0.2430939226519337,0.0425943852855759,4.239906296631064,0.1409544950055493,0.1229428848015488,2.458448341253614,0.1165371809100998,0.2032913843175217,2.032575400249051
horizon,5.0,0.15,18017.0,1033.0,0.0573347394127768,0.0070488982627518,127.0,0.3070866141732283,0.0377541142303969,0.0672413793103448,0.2430939226519337,0.0425943852855759,4.239906296631064,0.1409544950055493,0.1229428848015488,2.458448341253614,0.1165371809100998,0.2032913843175217,2.032575400249051
horizon,5.0,0.2,18017.0,1033.0,0.0573347394127768,0.0067713825831159,122.0,0.319672131147541,0.0377541142303969,0.0675324675324675,0.2430939226519337,0.0425943852855759,4.239906296631064,0.1409544950055493,0.1229428848015488,2.458448341253614,0.1165371809100998,0.2032913843175217,2.032575400249051
horizon,5.0,0.3,18017.0,1033.0,0.0573347394127768,0.0,0.0,0.0,0.0,0.0,0.2430939226519337,0.0425943852855759,4.239906296631064,0.1409544950055493,0.1229428848015488,2.458448341253614,0.1165371809100998,0.2032913843175217,2.032575400249051
