scope,horizon,market,row_count,positive_count,positive_rate,threshold,flag_count,flag_rate,true_positive_count,precision,recall,f1,top_1_count,top_1_positive_count,top_1_precision,top_1_recall,top_1_lift,top_5_count,top_5_positive_count,top_5_precision,top_5_recall,top_5_lift,top_10_count,top_10_positive_count,top_10_precision,top_10_recall,top_10_lift
market,,cn,7836.0,380.0,0.04849412965798877,0.2,14.0,0.0017866258295048494,4.0,0.2857142857142857,0.010526315789473684,0.020304568527918784,79.0,11.0,0.13924050632911392,0.02894736842105263,2.8712858094603595,392.0,30.0,0.07653061224489796,0.07894736842105263,1.578141783029001,784.0,56.0,0.07142857142857142,0.14736842105263157,1.4729323308270674
market,,cn,7836.0,380.0,0.04849412965798877,0.3,0.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,0.13924050632911392,0.02894736842105263,2.8712858094603595,392.0,30.0,0.07653061224489796,0.07894736842105263,1.578141783029001,784.0,56.0,0.07142857142857142,0.14736842105263157,1.4729323308270674
market,,cn,7836.0,380.0,0.04849412965798877,0.4,0.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,0.13924050632911392,0.02894736842105263,2.8712858094603595,392.0,30.0,0.07653061224489796,0.07894736842105263,1.578141783029001,784.0,56.0,0.07142857142857142,0.14736842105263157,1.4729323308270674
market,,cn,7836.0,380.0,0.04849412965798877,0.5,0.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,0.13924050632911392,0.02894736842105263,2.8712858094603595,392.0,30.0,0.07653061224489796,0.07894736842105263,1.578141783029001,784.0,56.0,0.07142857142857142,0.14736842105263157,1.4729323308270674
market,,cn,7836.0,380.0,0.04849412965798877,0.6,0.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,0.13924050632911392,0.02894736842105263,2.8712858094603595,392.0,30.0,0.07653061224489796,0.07894736842105263,1.578141783029001,784.0,56.0,0.07142857142857142,0.14736842105263157,1.4729323308270674
market,,hk,7964.0,433.0,0.05436966348568559,0.05,5150.0,0.6466599698643898,332.0,0.06446601941747573,0.766743648960739,0.11893247358051227,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,hk,7964.0,433.0,0.05436966348568559,0.075,970.0,0.12179809141135108,108.0,0.11134020618556702,0.24942263279445728,0.15395580898075553,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,hk,7964.0,433.0,0.05436966348568559,0.1,341.0,0.04281767955801105,66.0,0.1935483870967742,0.15242494226327943,0.1705426356589147,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,hk,7964.0,433.0,0.05436966348568559,0.15,148.0,0.01858362631843295,41.0,0.27702702702702703,0.09468822170900693,0.14113597246127366,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,hk,7964.0,433.0,0.05436966348568559,0.2,60.0,0.007533902561526871,21.0,0.35,0.04849884526558892,0.08519269776876269,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,hk,7964.0,433.0,0.05436966348568559,0.3,0.0,0.0,0.0,0.0,0.0,0.0,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,hk,7964.0,433.0,0.05436966348568559,0.4,0.0,0.0,0.0,0.0,0.0,0.0,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,hk,7964.0,433.0,0.05436966348568559,0.5,0.0,0.0,0.0,0.0,0.0,0.0,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,hk,7964.0,433.0,0.05436966348568559,0.6,0.0,0.0,0.0,0.0,0.0,0.0,80.0,23.0,0.2875,0.053117782909930716,5.287875288683602,399.0,70.0,0.17543859649122806,0.16166281755196305,3.22677363153843,797.0,95.0,0.1191969887076537,0.21939953810623555,2.192343690687654
market,,jp,7854.0,449.0,0.057168321874204224,0.05,4601.0,0.585816144639674,338.0,0.07346229080634645,0.7527839643652561,0.13386138613861387,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,jp,7854.0,449.0,0.057168321874204224,0.075,606.0,0.07715813598166539,97.0,0.16006600660066006,0.21603563474387527,0.1838862559241706,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,jp,7854.0,449.0,0.057168321874204224,0.1,253.0,0.03221288515406162,58.0,0.22924901185770752,0.1291759465478842,0.16524216524216526,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,jp,7854.0,449.0,0.057168321874204224,0.15,96.0,0.012223071046600458,23.0,0.23958333333333334,0.051224944320712694,0.08440366972477063,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,jp,7854.0,449.0,0.057168321874204224,0.2,58.0,0.0073847720906544435,15.0,0.25862068965517243,0.0334075723830735,0.059171597633136105,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,jp,7854.0,449.0,0.057168321874204224,0.3,1.0,0.00012732365673542143,0.0,0.0,0.0,0.0,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,jp,7854.0,449.0,0.057168321874204224,0.4,1.0,0.00012732365673542143,0.0,0.0,0.0,0.0,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,jp,7854.0,449.0,0.057168321874204224,0.5,1.0,0.00012732365673542143,0.0,0.0,0.0,0.0,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,jp,7854.0,449.0,0.057168321874204224,0.6,1.0,0.00012732365673542143,0.0,0.0,0.0,0.0,79.0,17.0,0.21518987341772153,0.0378619153674833,3.764145358179922,393.0,71.0,0.1806615776081425,0.15812917594654788,3.1601693330386444,786.0,104.0,0.13231552162849872,0.23162583518930957,2.3144902157466123
market,,tw,4308.0,267.0,0.06197771587743733,0.05,2621.0,0.6084029712163417,205.0,0.0782144219763449,0.7677902621722846,0.14196675900277006,44.0,5.0,0.11363636363636363,0.018726591760299626,1.8335035750766087,216.0,28.0,0.12962962962962962,0.10486891385767791,2.091552226383687,431.0,49.0,0.1136890951276102,0.18352059925093633,1.8343543888005422
market,,tw,4308.0,267.0,0.06197771587743733,0.075,353.0,0.0819405756731662,40.0,0.11331444759206799,0.149812734082397,0.1290322580645161,44.0,5.0,0.11363636363636363,0.018726591760299626,1.8335035750766087,216.0,28.0,0.12962962962962962,0.10486891385767791,2.091552226383687,431.0,49.0,0.1136890951276102,0.18352059925093633,1.8343543888005422
market,,tw,4308.0,267.0,0.06197771587743733,0.1,147.0,0.034122562674094706,21.0,0.14285714285714285,0.07865168539325842,0.10144927536231885,44.0,5.0,0.11363636363636363,0.018726591760299626,1.8335035750766087,216.0,28.0,0.12962962962962962,0.10486891385767791,2.091552226383687,431.0,49.0,0.1136890951276102,0.18352059925093633,1.8343543888005422
market,,tw,4308.0,267.0,0.06197771587743733,0.15,60.0,0.013927576601671309,8.0,0.13333333333333333,0.0299625468164794,0.04892966360856269,44.0,5.0,0.11363636363636363,0.018726591760299626,1.8335035750766087,216.0,28.0,0.12962962962962962,0.10486891385767791,2.091552226383687,431.0,49.0,0.1136890951276102,0.18352059925093633,1.8343543888005422
market,,tw,4308.0,267.0,0.06197771587743733,0.2,27.0,0.006267409470752089,3.0,0.1111111111111111,0.011235955056179775,0.02040816326530612,44.0,5.0,0.11363636363636363,0.018726591760299626,1.8335035750766087,216.0,28.0,0.12962962962962962,0.10486891385767791,2.091552226383687,431.0,49.0,0.1136890951276102,0.18352059925093633,1.8343543888005422
market,,tw,4308.0,267.0,0.06197771587743733,0.3,1.0,0.00023212627669452182,0.0,0.0,0.0,0.0,44.0,5.0,0.11363636363636363,0.018726591760299626,1.8335035750766087,216.0,28.0,0.12962962962962962,0.10486891385767791,2.091552226383687,431.0,49.0,0.1136890951276102,0.18352059925093633,1.8343543888005422
market,,tw,4308.0,267.0,0.06197771587743733,0.4,1.0,0.00023212627669452182,0.0,0.0,0.0,0.0,44.0,5.0,0.11363636363636363,0.018726591760299626,1.8335035750766087,216.0,28.0,0.12962962962962962,0.10486891385767791,2.091552226383687,431.0,49.0,0.1136890951276102,0.18352059925093633,1.8343543888005422
