date,horizon,portfolio_name,market,feature,feature_value,shap_value
2025-05-27,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.004175513828124234,-0.2124090939760208
2025-05-27,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.043009594082832336
2025-05-27,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.16369293630123138
2025-05-27,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006591347432450131,-0.024794820696115494
2025-05-27,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.44704064954953737,-0.08244484663009644
2025-05-27,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,1.7449940406912272,-0.03176835924386978
2025-05-27,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.5843265626894205,-0.017788024619221687
2025-05-27,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9759948437758152,-0.009048589505255222
2025-05-28,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,-0.011283338959854988,0.10622037947177887
2025-05-28,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,-0.018596032546225917,0.0627010315656662
2025-05-28,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.015910546232655906,0.040776725858449936
2025-05-28,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.012027311584782666,0.07104150205850601
2025-05-28,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.021157959681510734,-0.33285126090049744
2025-05-28,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,-0.0037192065092451834,-0.008763710036873817
2025-05-28,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0033791428775116024,-0.16268497705459595
2025-05-28,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.037030044943094254
2025-05-28,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.1594594568014145
2025-05-28,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006549124030340181,-0.01583394967019558
2025-05-28,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.4899086840374087,-0.10914651304483414
2025-05-28,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,1.232757974311867,-0.05763041973114014
2025-05-28,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.6173644169189163,8.625247573945671e-05
2025-05-28,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9766804797816775,-0.008864164352416992
2025-05-29,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,0.004504551891781694,-0.04633820801973343
2025-05-29,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.007957072409720765,-0.1435951143503189
2025-05-29,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.012280408240707325,-0.04174084961414337
2025-05-29,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.011987308488432193,0.08021840453147888
2025-05-29,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.021109143026715755,-0.203962504863739
2025-05-29,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.001591414481944153,-0.032989751547575
2025-05-29,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0036479787033228393,-0.21205320954322815
2025-05-29,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.042056746780872345
2025-05-29,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.1265883594751358
2025-05-29,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.0067382712670257415,0.004986681044101715
2025-05-29,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.4227178336639735,-0.07511695474386215
2025-05-29,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,1.2446533941317337,-0.05160606652498245
2025-05-29,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.6176660986962654,0.0038421049248427153
2025-05-29,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9781388471306421,-0.002845839597284794
2025-05-30,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,-0.003607180329329592,-0.03933517262339592
